component,direction,rank,feature,loading
PC11,negative,4,food_hours,-0.3663308174804949
PC11,negative,5,social_hours,-0.3783298860855675
PC12,positive,1,screen_time_hours,0.6268853083842693
PC12,positive,2,study_hours,0.27359855464351607
PC12,positive,3,social_hours,0.25291853747721554
PC12,positive,4,distance_traveled_km,0.22946537779857962
PC12,positive,5,sleep_hours,0.2140669434294006
PC12,negative,1,vehicle_hours,-0.06844213603366137
PC12,negative,2,sleep_midpoint_hours_after_8pm,-0.07919378691332729
PC12,negative,3,media_sessions,-0.09582837790687647
PC12,negative,4,food_hours,-0.35579675403821875
PC12,negative,5,media_playing_hours,-0.43802121209010914
PC13,positive,1,food_hours,0.634112288418755
PC13,positive,2,screen_time_hours,0.3985940575343786
PC13,positive,3,running_hours,0.13223322880086552
PC13,positive,4,sleep_midpoint_hours_after_8pm,0.07779957566977667
PC13,positive,5,location_visits,0.042330152496437665
PC13,negative,1,steps_total,-0.1743284617890315
PC13,negative,2,home_hours,-0.17615569484247903
PC13,negative,3,own_dorm_hours,-0.23698023766504414
PC13,negative,4,media_playing_hours,-0.316282479640456
PC13,negative,5,social_hours,-0.4285881642860631
PC14,positive,1,home_hours,0.5894759484944082
PC14,positive,2,vehicle_hours,0.36456321811135706
PC14,positive,3,study_hours,0.2544298792980213
PC14,positive,4,social_hours,0.2355395076673642
PC14,positive,5,food_hours,0.09702352691463804
PC14,negative,1,screen_time_hours,-0.1226210165265992
PC14,negative,2,steps_total,-0.22059494934014331
PC14,negative,3,still_hours,-0.24270473748807547
PC14,negative,4,distance_traveled_km,-0.32567443285809183
PC14,negative,5,own_dorm_hours,-0.38709319382133317
PC15,positive,1,distance_traveled_km,0.5221962659632062
PC15,positive,2,home_hours,0.2921681090613443
PC15,positive,3,steps_total,0.2446125089246148
PC15,positive,4,food_hours,0.22210194059971422
PC15,positive,5,walking_hours,0.1807819277043957
PC15,negative,1,running_hours,-0.08223133269936611
PC15,negative,2,screen_time_hours,-0.1050078557848233
PC15,negative,3,location_visits,-0.2584502156157835
PC15,negative,4,vehicle_hours,-0.4043534061043851
PC15,negative,5,own_dorm_hours,-0.4539771977997321
PC16,positive,1,media_sessions,0.7578556430167094
PC16,positive,2,location_visits,0.1588913748788445
PC16,positive,3,distance_traveled_km,0.10874400327409031
PC16,positive,4,home_hours,0.04804261688181548
PC16,positive,5,sleep_hours,0.03895249328598606
PC16,negative,1,study_hours,-0.0689176342659381
PC16,negative,2,own_dorm_hours,-0.07200221859039609
PC16,negative,3,vehicle_hours,-0.07906101191791239
PC16,negative,4,screen_time_hours,-0.31793758475931155
PC16,negative,5,media_playing_hours,-0.5106175583045158
PC17,positive,1,steps_total,0.6848421665475087
PC17,positive,2,vehicle_hours,0.3739266503886779
PC17,positive,3,food_hours,0.10383128435431005
PC17,positive,4,still_hours,0.0966619606846133
PC17,positive,5,media_sessions,0.09610588010657453
PC17,negative,1,distance_traveled_km,-0.12236635960250816
PC17,negative,2,media_playing_hours,-0.14291976733016937
PC17,negative,3,running_hours,-0.1621892228592871
PC17,negative,4,location_visits,-0.344457845362205
PC17,negative,5,walking_hours,-0.40029649155116803
PC18,positive,1,location_visits,0.6995720126812345
PC18,positive,2,steps_total,0.27942121968499933
PC18,positive,3,still_hours,0.18999939429169016
PC18,positive,4,home_hours,0.1653913149317592
PC18,positive,5,media_playing_hours,0.10585759341949358
PC18,negative,1,food_hours,-0.12066841541703247
PC18,negative,2,media_sessions,-0.12141429752713012
PC18,negative,3,walking_hours,-0.22352275271180025
PC18,negative,4,own_dorm_hours,-0.3168361832921464
PC18,negative,5,study_hours,-0.367498407591276
PC19,positive,1,still_hours,0.7223245347335548
PC19,positive,2,walking_hours,0.5460806590730852
PC19,positive,3,vehicle_hours,0.4169599188346623
PC19,positive,4,biking_hours,0.06776787743096747
PC19,positive,5,running_hours,0.03808209278161072
PC19,negative,1,home_hours,0.00010254836436266667
PC19,negative,2,steps_total,-0.0006672918384491729
PC19,negative,3,screen_time_hours,-0.00213483529445725
PC19,negative,4,media_sessions,-0.0028861818983706208
PC19,negative,5,location_visits,-0.007996138242212814
