term,coefficient,std_error,t_stat,p_value_normal_approx
sleep_hours,-0.06268518312902115,0.006389430005970067,-9.810762942930783,1.0120048434675537e-22
sleep_midpoint_hours_after_8pm,-0.01686653028735409,0.00630074044924566,-2.6769124078699975,0.00743040575754159
steps_total,0.005359473519633103,0.008815631237055359,0.6079511920944757,0.543219845569355
walking_hours,-0.06849329779899326,0.036146540355082545,-1.8948783791243926,0.05810851617906233
running_hours,0.007610921998018111,0.006829313764235605,1.114449015049756,0.2650866056362809
biking_hours,-0.007178364443640062,0.007666587879738578,-0.9363180278166766,0.3491094688594707
vehicle_hours,-0.05334637196898275,0.028064410493960093,-1.9008548916594468,0.057321021884609816
still_hours,0.023984409109813146,0.04728992380644885,0.5071780028231391,0.6120299279360114
distance_traveled_km,0.015139420090481156,0.007348645144026033,2.0601648050441668,0.03938278827085957
location_visits,-0.07067729529875377,0.009259716654655154,-7.63277084328731,2.2976108045360733e-14
home_hours,0.013190094688912735,0.007348160687759381,1.7950199035365257,0.07265052884534766
own_dorm_hours,0.13479775883293288,0.007656545816026869,17.60555765901262,2.2329744761015243e-69
social_hours,0.03267551865823045,0.006785930661479968,4.815186050118603,1.470628067282786e-06
study_hours,0.1585434049488182,0.007450775396896238,21.278779254956802,1.785302512923964e-100
food_hours,0.02482276397670406,0.007342051956293633,3.3809027945417762,0.0007224809676698919
other_campus_hours,0.026009317949686084,0.00652163595528654,3.988158512374878,6.658816729337369e-05
screen_time_hours,0.03134934589165945,0.007431079849767685,4.21867972427177,2.4573704811084048e-05
media_playing_hours,0.011480190483024778,0.007676030604706157,1.4955894620829546,0.1347606709249544
media_sessions,-0.00727038876079984,0.008269362183013792,-0.8791958315399515,0.3792951042134637
sleep_source_healthkit,-0.08636460566016613,0.0188213094313004,-4.588660846122598,4.460985122545872e-06
