model,reason,n_rows,n_students,n_terms,rank,df_resid,within_r_squared,rss,model_pcs,model_features
PCA linear student fixed-effects OLS fallback,statsmodels is not installed; student means are subtracted before OLS,22262,195,12,12,22055,0.07141354039112235,18852.730254167505,"PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11",
all-features linear student fixed-effects OLS fallback,statsmodels is not installed; student means are subtracted before OLS,22262,195,20,20,22047,0.0830590097588435,18616.29681234746,,"sleep_hours,sleep_midpoint_hours_after_8pm,steps_total,walking_hours,running_hours,biking_hours,vehicle_hours,still_hours,distance_traveled_km,location_visits,home_hours,own_dorm_hours,social_hours,study_hours,food_hours,other_campus_hours,screen_time_hours,media_playing_hours,media_sessions,sleep_source_healthkit"
