uid,gender,race
968356427b2638af0930896c8d4a48d5,M,asian
f663e0d08f34a40d5930a3298bc8e98e,F,white
ad15fc229da933fbf1fc0f92fc9b55a3,F,american indian/alaska native
6294895f1093b3878b385812d65c3197,M,white
8ee53a46a77476104276e6a1af54472c,M,white
eb5b94ef4672c2971d18f0d95d51f892,F,more than one
4005a296ac7cd078b8bd56f0b905b7a6,F,white
1e85c892d8f047ff621ad9134c4e6d8d,M,asian
fbcc8cd8254960ed44ffdd3390a2f6a0,F,asian
bea4c7250c8631ddfacf57dfa386caba,F,white
a2949761d01e0f82cdbcc71231431959,F,asian
1d2263527eed2a54e88d340fb8e55308,F,asian
f7472689b3556548c03d3b064d6ab9a8,F,white
a6c1b8b62cc50f9022f018b5198648a0,M,white
62e43e3420646eaa7ecb44636abda31a,F,white
8ee7d10d8b836222ee69ff04247971a4,F,white
8c644d8cbd193c5575bb826a8abaa245,F,asian
dd2ab53554046244203dfb4a72ad4e18,F,asian
8e12cde03a0eaf1a9c41596a81a1cf59,M,asian
aeeb186fafcc356f44cae870555f4a0d,F,asian
1badfae62cc1b76787d4f8beb68737bf,F,white
69d24b22972459bf83ab0c8eb24d13cc,F,white
35cf1abf179310dc33907d953f590366,M,white
b4d5a392109a5d0a0e6da33189e63511,M,white
83a37a7ffd416a2e0a863c86166a97c8,M,white
8479552e5849c2f93e5f8ab1720ed78b,F,asian
dfba04a156c13a94753a56bbbdd58969,M,white
20b8c420e5a7abcb07f11aab23e42923,M,white
12e0a85ee9819ae1abeca0ccfaa52d13,M,asian
c7d47e96f38254e31508ca2c19b24d29,F,white
fc26652471ae91bdbbc11a8be89c362c,M,white
d86f28a1830ecec98f00cd0fddf8b1ef,M,white
b5dea997cb5e8f17d428c5047a9a1c08,F,white
9ffbe25e279de21de86acd54b6fa60d0,F,asian
7d2c632a05bbb03ca97555d61be83c41,F,asian
920e275acd8721dad396513f4d7c99ea,F,white
713a6a94988cc13bf0bb50ad0cb0a015,F,asian
f1dcebbb6fbe6d586ddb2c43c781e013,F,white
6b4ad83b4ee50566e899f3b6c0fb7864,F,asian
d060bfe5da35b9cbd05e3dc33e167092,F,white
c75fc80fba7cbe2b7d9cbc71be5b91a6,F,white
4e37495c9c7c8a17e8737e2c61cfe228,F,asian
b855dfddb71e240c1990b539533cd1f6,M,other/hispanic
6b22ac2851e90cebdb6bcc50288e031c,M,asian
632503a1df16a201a0fc5a1b91d3b01c,F,more than one
964412e1937376da4b5a70412a600bc9,F,white
212521733ea8eeff63d997dc0213c692,M,white
c37f9221f44e9ca35a49180dc05a7587,F,white
f578948fdf09c92bc603dae7400b6673,M,white
ffc4b142e017c162ed4db7b05414fc4b,F,black
4eeb9f06b3ff630aa8f81fd23e1dfe7b,F,white
aa77ecb82c267ad01e9899413f072025,M,white
9a67ed145c6e7be55b1f744897316f71,F,white
1741432fb469dbbcd5a40599670c64ce,M,white
51ac1dd0849798d75614176ebff633be,F,asian
e3d27e46b8e06963920efb69f95df6fc,F,asian
bdefb86f43d463ae4475291ec837f7d7,F,white
